,id,layer,accuracy,precision,recall,f1-score,epoche
29,1,1,0.6280710003526507,0.6280710003526507,0.6280710003526507,0.6280710003526507,400000
30,2,2,0.6453508875044082,0.6453508875044082,0.6453508875044082,0.6453508875044082,400000
31,3,3,0.6531092041847889,0.6531092041847889,0.6531092041847889,0.6531092041847889,400000
32,4,4,0.6473492418008698,0.6473492418008698,0.6473492418008698,0.6473492418008698,400000
33,5,5,0.6334783119783708,0.6334783119783708,0.6334783119783708,0.6334783119783708,400000
34,6,6,0.6492300458445985,0.6492300458445985,0.6492300458445985,0.6492300458445985,400000
35,0,0,0.6407664276478194,0.6407664276478194,0.6407664276478194,0.6407664276478194,500000
36,1,1,0.6337134124838368,0.6337134124838368,0.6337134124838368,0.6337134124838368,500000
37,2,2,0.6469965910426707,0.6469965910426707,0.6469965910426707,0.6469965910426707,500000
38,3,3,0.6504055483719289,0.6504055483719289,0.6504055483719289,0.6504055483719289,500000
39,4,4,0.6473492418008698,0.6473492418008698,0.6473492418008698,0.6473492418008698,500000
40,5,5,0.6350064652639004,0.6350064652639004,0.6350064652639004,0.6350064652639004,500000
41,6,6,0.6385329728458916,0.6385329728458916,0.6385329728458916,0.6385329728458916,500000
42,0,0,0.6374750205712942,0.6374750205712942,0.6374750205712942,0.6374750205712942,600000
43,1,1,0.6283061008581169,0.6283061008581169,0.6283061008581169,0.6283061008581169,600000
44,2,2,0.6446455859880099,0.6446455859880099,0.6446455859880099,0.6446455859880099,600000
45,3,3,0.6398260256259551,0.6398260256259551,0.6398260256259551,0.6398260256259551,600000
46,4,4,0.6464088397790055,0.6464088397790055,0.6464088397790055,0.6464088397790055,600000
47,5,5,0.6294816033854472,0.6294816033854472,0.6294816033854472,0.6294816033854472,600000
48,6,6,0.6424121311860821,0.6424121311860821,0.6424121311860821,0.6424121311860821,600000
49,0,0,0.6458210885153403,0.6458210885153403,0.6458210885153403,0.6458210885153403,700000
50,1,1,0.6224285882214646,0.6224285882214646,0.6224285882214646,0.6224285882214646,700000
51,2,2,0.6410015281532855,0.6410015281532855,0.6410015281532855,0.6410015281532855,700000
52,3,3,0.6565181615140473,0.6565181615140473,0.6565181615140473,0.6565181615140473,700000
53,4,4,0.6511108498883272,0.6511108498883272,0.6511108498883272,0.6511108498883272,700000
54,5,5,0.6308922064182438,0.6308922064182438,0.6308922064182438,0.6308922064182438,700000
55,6,6,0.6544022569648524,0.6544022569648524,0.6544022569648524,0.6544022569648524,700000
56,0,0,0.6438227342188786,0.6438227342188786,0.6438227342188786,0.6438227342188786,800000
57,1,1,0.6218408369577995,0.6218408369577995,0.6218408369577995,0.6218408369577995,800000
58,2,2,0.6294816033854472,0.6294816033854472,0.6294816033854472,0.6294816033854472,800000
59,3,3,0.6417068296696838,0.6417068296696838,0.6417068296696838,0.6417068296696838,800000
60,4,4,0.6492300458445985,0.6492300458445985,0.6492300458445985,0.6492300458445985,800000
61,5,5,0.642294580933349,0.642294580933349,0.642294580933349,0.642294580933349,800000
