,Unnamed: 0,layer,accuracy,precision,recall,f1-score,epoche,model,task,id
53,53.0,4,0.6511108498883272,0.6511108498883272,0.6511108498883272,0.6511108498883272,700000,t5-large,sentence length,
54,54.0,5,0.6308922064182438,0.6308922064182438,0.6308922064182438,0.6308922064182438,700000,t5-large,sentence length,
55,55.0,6,0.6544022569648524,0.6544022569648524,0.6544022569648524,0.6544022569648524,700000,t5-large,sentence length,
56,56.0,0,0.6438227342188786,0.6438227342188786,0.6438227342188786,0.6438227342188786,800000,t5-large,sentence length,
57,57.0,1,0.6218408369577995,0.6218408369577995,0.6218408369577995,0.6218408369577995,800000,t5-large,sentence length,
58,58.0,2,0.6294816033854472,0.6294816033854472,0.6294816033854472,0.6294816033854472,800000,t5-large,sentence length,
59,59.0,3,0.6417068296696838,0.6417068296696838,0.6417068296696838,0.6417068296696838,800000,t5-large,sentence length,
60,60.0,4,0.6492300458445985,0.6492300458445985,0.6492300458445985,0.6492300458445985,800000,t5-large,sentence length,
61,61.0,5,0.642294580933349,0.642294580933349,0.642294580933349,0.642294580933349,800000,t5-large,sentence length,
62,62.0,6,0.6588691665687081,0.6588691665687081,0.6588691665687081,0.6588691665687081,800000,t5-large,sentence length,
63,63.0,0,0.6424121311860821,0.6424121311860821,0.6424121311860821,0.6424121311860821,900000,t5-large,sentence length,
64,64.0,1,0.6233689902433289,0.6233689902433289,0.6233689902433289,0.6233689902433289,900000,t5-large,sentence length,
65,65.0,2,0.6400611261314212,0.6400611261314212,0.6400611261314212,0.6400611261314212,900000,t5-large,sentence length,
66,66.0,3,0.6338309627365699,0.6338309627365699,0.6338309627365699,0.6338309627365699,900000,t5-large,sentence length,
67,67.0,4,0.645115786998942,0.645115786998942,0.645115786998942,0.645115786998942,900000,t5-large,sentence length,
68,68.0,5,0.6348889150111673,0.6348889150111673,0.6348889150111673,0.6348889150111673,900000,t5-large,sentence length,
69,69.0,6,0.6560479605031151,0.6560479605031151,0.6560479605031151,0.6560479605031151,900000,t5-large,sentence length,
70,70.0,0,0.6535794051957212,0.6535794051957212,0.6535794051957212,0.6535794051957212,1000000,t5-large,sentence length,
71,71.0,1,0.6219583872105325,0.6219583872105325,0.6219583872105325,0.6219583872105325,1000000,t5-large,sentence length,
72,72.0,2,0.639590925120489,0.639590925120489,0.639590925120489,0.639590925120489,1000000,t5-large,sentence length,
73,73.0,3,0.6438227342188786,0.6438227342188786,0.6438227342188786,0.6438227342188786,1000000,t5-large,sentence length,
74,74.0,4,0.658398965557776,0.658398965557776,0.658398965557776,0.658398965557776,1000000,t5-large,sentence length,
75,75.0,5,0.6365346185494298,0.6365346185494298,0.6365346185494298,0.6365346185494298,1000000,t5-large,sentence length,
76,76.0,6,0.6556953097449161,0.6556953097449161,0.6556953097449161,0.6556953097449161,1000000,t5-large,sentence length,
77,0.0,0,0.3088098558809856,0.3088098558809856,0.3088098558809856,0.3088098558809856,1000000,t5-large,tree depth,
78,1.0,1,0.31415620641562064,0.31415620641562064,0.31415620641562064,0.31415620641562064,1000000,t5-large,tree depth,
79,2.0,2,0.3298465829846583,0.3298465829846583,0.3298465829846583,0.3298465829846583,1000000,t5-large,tree depth,
80,3.0,3,0.3369363086936309,0.3369363086936309,0.3369363086936309,0.3369363086936309,1000000,t5-large,tree depth,
81,4.0,4,0.3423988842398884,0.3423988842398884,0.3423988842398884,0.3423988842398884,1000000,t5-large,tree depth,
82,5.0,5,0.3414690841469084,0.3414690841469084,0.3414690841469084,0.3414690841469084,1000000,t5-large,tree depth,
83,6.0,6,0.3413528591352859,0.3413528591352859,0.3413528591352859,0.3413528591352859,1000000,t5-large,tree depth,
