,id,layer,accuracy,precision,recall,f1-score,epoche
46,4,4,0.3407717340771734,0.3407717340771734,0.3407717340771734,0.3407717340771734,400000
47,5,5,0.3399581589958159,0.3399581589958159,0.3399581589958159,0.3399581589958159,400000
48,6,6,0.3282194328219433,0.3282194328219433,0.3282194328219433,0.3282194328219433,400000
49,0,0,0.3117154811715481,0.3117154811715481,0.3117154811715481,0.3117154811715481,300000
50,1,1,0.31206415620641564,0.31206415620641564,0.31206415620641564,0.31206415620641564,300000
51,2,2,0.3193863319386332,0.3193863319386332,0.3193863319386332,0.3193863319386332,300000
52,3,3,0.3288005578800558,0.3288005578800558,0.3288005578800558,0.3288005578800558,300000
53,4,4,0.3355416085541609,0.3355416085541609,0.3355416085541609,0.3355416085541609,300000
54,5,5,0.33158995815899583,0.33158995815899583,0.33158995815899583,0.33158995815899583,300000
55,6,6,0.3282194328219433,0.3282194328219433,0.3282194328219433,0.3282194328219433,300000
56,0,0,0.3147373314737332,0.3147373314737332,0.3147373314737332,0.3147373314737332,200000
57,1,1,0.3105532310553231,0.3105532310553231,0.3105532310553231,0.3105532310553231,200000
58,2,2,0.31438865643886565,0.31438865643886565,0.31438865643886565,0.31438865643886565,200000
59,3,3,0.3284518828451883,0.3284518828451883,0.3284518828451883,0.3284518828451883,200000
60,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,200000
61,5,5,0.3365876336587634,0.3365876336587634,0.3365876336587634,0.3365876336587634,200000
62,6,6,0.32670850767085075,0.32670850767085075,0.32670850767085075,0.32670850767085075,200000
63,0,0,0.30497443049744305,0.30497443049744305,0.30497443049744305,0.30497443049744305,100000
64,1,1,0.30462575546257553,0.30462575546257553,0.30462575546257553,0.30462575546257553,100000
65,2,2,0.30857740585774057,0.30857740585774057,0.30857740585774057,0.30857740585774057,100000
66,3,3,0.3052068805206881,0.3052068805206881,0.3052068805206881,0.3052068805206881,100000
67,4,4,0.3107856810785681,0.3107856810785681,0.3107856810785681,0.3107856810785681,100000
68,5,5,0.3097396559739656,0.3097396559739656,0.3097396559739656,0.3097396559739656,100000
69,6,6,0.31287773128777313,0.31287773128777313,0.31287773128777313,0.31287773128777313,100000
70,0,0,0.2885867038586704,0.2885867038586704,0.2885867038586704,0.2885867038586704,0
71,1,1,0.2771966527196653,0.2771966527196653,0.2771966527196653,0.2771966527196653,0
72,2,2,0.2778940027894003,0.2778940027894003,0.2778940027894003,0.2778940027894003,0
73,3,3,0.2709205020920502,0.2709205020920502,0.2709205020920502,0.2709205020920502,0
74,4,4,0.27138540213854023,0.27138540213854023,0.27138540213854023,0.27138540213854023,0
75,5,5,0.2675499767549977,0.2675499767549977,0.2675499767549977,0.2675499767549977,0
76,6,6,0.2702231520223152,0.2702231520223152,0.2702231520223152,0.2702231520223152,0
